tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
9344,Kids,1995,ok,https://www.rottentomatoes.com/m/kids,Kids,,47,NEGATIVE,76,POSITIVE,
9345,Exit,2006,ok,https://www.rottentomatoes.com/m/exit_2019,Exit (2019),,83,POSITIVE,94,POSITIVE,
9346,Risky Business,1983,ok,https://www.rottentomatoes.com/m/1017641-risky_business,Risky Business,,93,POSITIVE,73,POSITIVE,R
9347,Frontier Hellcat,1964,ok,https://www.rottentomatoes.com/m/frontier_hellcat,Frontier Hellcat,,,,,,
9348,Species,1995,ok,https://www.rottentomatoes.com/m/species,Species,,42,NEGATIVE,31,NEGATIVE,R
9349,Universal Soldier,1992,ok,https://www.rottentomatoes.com/m/universal_soldier,Universal Soldier,,34,NEGATIVE,47,NEGATIVE,R
9350,Cliffhanger,1993,ok,https://www.rottentomatoes.com/m/1044214-cliffhanger,Cliffhanger,,67,POSITIVE,53,NEGATIVE,R
9352,EuroTrip,2004,ok,https://www.rottentomatoes.com/m/eurotrip,Eurotrip,,47,NEGATIVE,75,POSITIVE,R
9353,Nacho Libre,2006,ok,https://www.rottentomatoes.com/m/nacho_libre,Nacho Libre,,39,NEGATIVE,55,NEGATIVE,PG
9354,"Honey, I Shrunk the Kids",1989,ok,https://www.rottentomatoes.com/m/honey_i_shrunk_the_kids,"Honey, I Shrunk the Kids",,76,POSITIVE,54,NEGATIVE,PG
9355,Mad Max Beyond Thunderdome,1985,ok,https://www.rottentomatoes.com/m/mad_max_beyond_thunderdome,Mad Max Beyond Thunderdome,,80,POSITIVE,49,NEGATIVE,PG-13
9356,Look Who's Talking Too,1990,ok,https://www.rottentomatoes.com/m/look_whos_talking_too,Look Who's Talking Too,,13,NEGATIVE,32,NEGATIVE,PG-13
9357,One Hour Photo,2002,ok,https://www.rottentomatoes.com/m/one_hour_photo,One Hour Photo,,81,POSITIVE,65,POSITIVE,R
9358,Final Destination 2,2003,ok,https://www.rottentomatoes.com/m/final_destination_2,Final Destination 2,,52,NEGATIVE,58,NEGATIVE,R
9359,Maverick,1994,ok,https://www.rottentomatoes.com/m/maverick,Maverick,,67,POSITIVE,71,POSITIVE,PG
9360,Anaconda,1997,ok,https://www.rottentomatoes.com/m/anaconda,Anaconda,,41,NEGATIVE,24,NEGATIVE,PG-13
9361,The Last of the Mohicans,1992,ok,https://www.rottentomatoes.com/m/1040678-last_of_the_mohicans,The Last of the Mohicans,,88,POSITIVE,88,POSITIVE,R
9362,Tremors,1990,ok,https://www.rottentomatoes.com/m/tremors,Tremors,,88,POSITIVE,76,POSITIVE,PG-13
