tmdb_id,imdb_id,title,genre,director,producers,screenwriters,imdb_rating,imdb_vote_count,running_time_minutes
5868,tt0777219,St. Pauli Forever,Short,Michael Sommer,,Vivien Hoppe,6.9,13,7
5869,tt0066219,Der Pfarrer von St. Pauli,Drama,Rolf Olsen,Heinz Willeg,Rolf Olsen,6.3,98,103
5870,tt0050505,Das Herz von St. Pauli,"Crime, Drama, Musical",Eugen York,,"Kurt E. Walter, Eberhard von Wiese",6.1,110,95
5871,tt1178197,The World Is Big and Salvation Lurks Around the Corner,Drama,Stephan Komandarev,"Karl Baumgartner, Danijel Hocevar, Thanassis Karathanos, Stefan Kitanov","Yurii Dachev, Stephan Komandarev, Dusan Milic, Ilija Trojanow",7.9,6257,105
5873,tt0375911,Guys & Balls,"Comedy, Drama, Romance",Sherry Hormann,"Kirsten Hager, Eric Moss, Andreas Schneppe",Benedikt Gollhardt,6.7,2012,106
5874,tt0067319,Nurses for Sale,Adventure,"Rolf Olsen, Al Adamson",Heinz Willeg,Rolf Olsen,5.0,152,84
5875,tt0187163,Der Hurenstreik - Eine Liebe auf St. Pauli,Comedy,Martin Enlen,Sabine Timmermann,Beate Langmaack,4.0,33,90
5876,tt0884328,The Mist,"Horror, Sci-Fi, Thriller",Frank Darabont,"Frank Darabont, Liz Glotzer","Frank Darabont, Stephen King",7.1,377908,126
5879,tt0074102,In the Realm of the Senses,"Drama, Romance",Nagisa Ōshima,Anatole Dauman,"Nagisa Ōshima, Kōji Wakamatsu",6.6,25391,109
5881,tt0774756,Twice Upon a Time,Comedy,Antoine de Caunes,"Pierre Kubel, Marie-Castille Mention-Schaar",Antoine de Caunes,5.7,735,92
5886,tt0494467,Andersrum,Comedy,"Mark Keller, Heiner Lauterbach","Jürgen B. Harder, Mark Keller, Heiner Lauterbach","Mark Keller, Heiner Lauterbach, Elmar Schäfer",1.6,100,94
5887,tt0030720,Shadows over St. Pauli,,Fritz Kirchhoff,,"Harald Baumgarten, Ernst Hasselbach, Per Schwenzen",,,82
5888,tt0023376,Raid in St. Pauli,"Crime, Drama",Werner Hochbaum,Justin Rosenfeld,Werner Hochbaum,6.9,109,74
5889,tt0384819,Azumi,"Action, Adventure, Drama",Ryūhei Kitamura,"Osamu Kamei, Sumio Kiga, Morihiro Kodama, Toshiaki Nakazawa","Yû Koyama, Mataichirô Yamamoto, Isao Kiriyama",6.7,15542,128
5890,tt0431641,Azumi 2: Death or Love,"Action, Adventure, Drama",Shūsuke Kaneko,"Toshiaki Nakazawa, Mataichirô Yamamoto","Yû Koyama, Mataichirô Yamamoto, Yoshiaki Kawajiri",6.2,5888,108
5891,tt0402387,Dark Nights in St Pauls,Crime,Günter Schlesinger,Günter Schlesinger,"Werner Frank Posselt, Günter Schlesinger",5.3,15,86
5892,tt0364464,Kokain - Das Tagebuch der Inga L.,Crime,Günter Schlesinger,Günter Schlesinger,,4.6,12,79
5893,tt0366561,Heiligabend auf St. Pauli,Documentary,Klaus Wildenhahn,,Klaus Wildenhahn,7.3,27,51
5894,tt0112541,Blue in the Face,Comedy,"Paul Auster, Wayne Wang, Harvey Wang","Greg Johnson, Peter Newman, Diana Phillips","Paul Auster, Wayne Wang",6.6,10631,83
5896,tt0086987,Bolero,"Comedy, Drama, Romance",John Derek,Bo Derek,John Derek,3.0,6479,105
5897,tt0258465,The Boy Who Saw the Iceberg,"Animation, Short",Paul Driessen,"Marcy Page, David Verrall",Paul Driessen,6.9,215,9
5898,tt0099173,Brain Dead,"Horror, Mystery, Sci-Fi",Adam Simon,Julie Corman,"Charles Beaumont, Adam Simon",5.8,6495,85
5899,tt0105019,The Northerners,"Comedy, Drama",Alex van Warmerdam,"Laurens Geels, Dick Maas","Alex van Warmerdam, Aat Ceelen",7.2,3623,108
5900,tt0116729,The Dress,"Comedy, Drama",Alex van Warmerdam,"Ton Schippers, Alex van Warmerdam, Marc van Warmerdam",Alex van Warmerdam,6.9,2210,103
5901,tt0072131,The Secret,"Crime, Drama, Mystery",Robert Enrico,Jacques-Eric Strauss,"Francis Ryck, Robert Enrico, Pascal Jardin",6.7,1079,102
5902,tt0075784,A Bridge Too Far,"Drama, History, War",Richard Attenborough,"Joseph E. Levine, Richard P. Levine","Cornelius Ryan, William Goldman",7.4,68296,175
5904,tt0475962,Das Geheimnis von St. Pauli,,Rolf Randolf,,"Emanuel Alfieri, Hans Jacob",,,
5905,tt0050392,Die fidelen Detektive,Comedy,Hermann Kugelstadt,Richard König,"Hans H. König, L.A.C. Müller",,,99
5906,tt0439141,Docks of Hamburg,Drama,Erich Waschneck,Alfred Zeisler,"Bobby E. Lüthge, Erich Waschneck",6.6,24,114
5909,tt0069306,Jürgen Roland’s St. Pauli-Report,Drama,Jürgen Roland,Wolf C. Hartwig,Werner Jörg Lüddecke,4.5,60,90
5910,tt0119250,Fireworks,"Crime, Drama, Romance",Takeshi Kitano,"Masayuki Mori, Yasushi Tsuge, Takio Yoshida",Takeshi Kitano,7.7,35828,103
5911,tt0056728,Voyage to Danger,"Crime, Drama","Roberto Bianchi Montero, Wolfgang Schleif",Wolf C. Hartwig,J. Joachim Bartsch,5.6,36,86
5912,tt0049983,Zwei Bayern in St. Pauli,Comedy,Hermann Kugelstadt,"Hans H. König, Richard König, Edgar Röll","Eberhard Itzenplitz, Hans H. König, Hans Lacmüller",2.5,12,95
5913,tt0141939,Unter den Dächern von St. Pauli,"Crime, Drama",Alfred Weidenmann,Reginald Puhl,Herbert Reinecker,5.9,35,88
5914,tt0066419,Das Stunden-Hotel von St. Pauli,"Crime, Drama",Rolf Olsen,,Rolf Olsen,6.4,61,95
5915,tt0758758,Into the Wild,"Adventure, Biography, Drama",Sean Penn,"Art Linson, Sean Penn, Bill Pohlad","Sean Penn, Jon Krakauer",8.0,697903,148
5916,tt0068638,The Getaway,"Action, Crime, Thriller",Sam Peckinpah,"Mitchell Brower, David Foster","Walter Hill, Jim Thompson",7.3,37646,123
5917,tt0080031,Tom Horn,"Biography, Crime, Drama",William Wiard,Fred Weintraub,"Thomas McGuane, Bud Shrake",6.8,6778,98
5919,tt0072308,The Towering Inferno,"Action, Drama, Thriller",John Guillermin,Irwin Allen,"Richard Martin Stern, Thomas N. Scortia, Frank M. Robinson, Stirling Silliphant",7.0,53234,165
5920,tt0067334,Le Mans,"Action, Adventure, Drama","Lee H. Katzin, John Sturges",Jack N. Reddish,"Harry Kleiner, John T. Kelley",6.7,13418,106
5921,tt0060748,Nevada Smith,"Drama, Western",Henry Hathaway,Henry Hathaway,"Harold Robbins, John Michael Hayes",6.9,9902,128
5922,tt0080907,The Hunter,"Action, Biography, Comedy",Buzz Kulik,Mort Engelberg,"Richard Levinson, Peter Hyams, Christopher Keane, Ralph Thorson, John Rester Zodrow",6.2,7813,97
5923,tt0060934,The Sand Pebbles,"Adventure, Drama, Romance",Robert Wise,,"Richard McKenna, Robert Anderson",7.5,17927,182
5924,tt0070511,Papillon,"Biography, Crime, Drama",Franklin J. Schaffner,"Robert Dorfmann, Franklin J. Schaffner","Dalton Trumbo, Lorenzo Semple Jr., Henri Charrière, William Goldman",8.0,146418,151
5925,tt0057115,The Great Escape,"Adventure, Drama, Thriller",John Sturges,John Sturges,"Paul Brickhill, James Clavell, W.R. Burnett",8.2,278915,172
5926,tt0052862,The Great St. Louis Bank Robbery,"Crime, Drama, Thriller","Charles Guggenheim, John Stix",Charles Guggenheim,Richard T. Heffron,5.8,1920,89
5927,tt0068786,Junior Bonner,"Drama, Western",Sam Peckinpah,Joe Wizan,Jeb Rosebrook,6.7,7505,100
5928,tt0064886,The Reivers,"Comedy, Drama",Mark Rydell,Irving Ravetch,"William Faulkner, Irving Ravetch, Harriet Frank Jr.",6.6,3578,107
5929,tt0756312,Koto,Drama,Nobuaki Izaki,,"Yasunari Kawabata, Yûko Nagata",5.8,26,110
5930,tt0393977,Wir fahren mit der U-Bahn nach St. Pauli,Comedy,Claus Muras,,"Frank Boyss, Claus Muras",,,91
5931,tt0062312,Straßenbekanntschaften auf St. Pauli,"Crime, Drama",Werner Klingler,Artur Brauner,"Jürgen Büchmann, Jürgen Knop",4.9,22,82
5932,tt0060856,St. Pauli Between Night and Morning,Crime,José Bénazéraf,Erwin C. Dietrich,Wolfgang Steinhardt,6.1,55,89
5933,tt0067784,St. Pauli Nachrichten: Thema Nr. 1,,Franz Marischka,,"Franz Marischka, Manfred Seide",4.6,23,
5935,tt0480851,Der Komödienstadel - St. Pauli in St. Peter,"Comedy, Music",Olf Fischer,,"Maximilian Vitus, Oskar Weber, Kurt Hertha, Olf Fischer",7.3,7,88
5936,tt0059750,St. Pauli Herbertstraße,,Ákos Ráthonyi,,"Margarethe Reinhardt, Kurt Roecken",5.7,16,89
5937,tt1124377,John Rabe,"Biography, Drama, History",Florian Gallenberger,"Benjamin Herrmann, Mischa Hofmann, Jan Mojto","Florian Gallenberger, John Rabe, Erwin Wickert",7.2,7006,134
5938,tt0200115,Der Sexbaron von St. Pauli,"Adult, Comedy, Crime",Jürgen Enz,,"Michael Eder, Jürgen Enz",4.6,41,78
5939,tt0033297,Between Hamburg and Haiti,"Adventure, Drama, Romance",Erich Waschneck,Hermann Grund,"Josef Maria Frank, Walter Forster",5.9,20,91
5941,tt0102810,Rothenbaumchaussee,"Drama, History, War",Dietrich Haugk,,Robert Muller,5.0,8,90
5950,tt0119073,It Happened in Broad Daylight,"Crime, Drama",Nico Hofmann,"Bernd Eichinger, Uschi Reich","Bernd Eichinger, Friedrich Dürrenmatt, Uwe Wilhelm",5.6,303,85
5951,tt0866437,The Jane Austen Book Club,"Comedy, Drama, Romance",Robin Swicord,"John Calley, Julie Lynn, Diana Napper","Robin Swicord, Karen Joy Fowler",6.7,30010,106
5952,tt1073669,Melodies of Spring,"Comedy, Musical",Martin Walz,Manuela Stehr,"Lars Hoeppner, Martin Walz",5.8,157,89
5953,tt0065957,The Lady in the Car with Glasses and a Gun,"Drama, Mystery, Thriller",Anatole Litvak,"Raymond Danon, Anatole Litvak","Sébastien Japrisot, Anatole Litvak, Richard Harris, Eleanor Perry",6.1,708,105
5954,tt0109088,So I Sleepwalk in Broad Daylight,,Hubert Sauper,Hubert Sauper,Barbara Albert,,,60
5955,tt0237572,The Pledge,"Crime, Drama, Mystery",Sean Penn,"Michael Fitzgerald, Sean Penn, Elie Samaha","Friedrich Dürrenmatt, Jerzy Kromolowski, Mary Olson-Kromolowski",6.7,77808,124
5956,tt0808331,Joshua,"Drama, Horror, Thriller",George Ratliff,Johnathan Dorfman,"David Gilbert, George Ratliff",5.8,13952,106
5957,tt1105282,Hölle Hamburg,Crime,"Ted Gaier, Peter Ott",,"Ted Gaier, Peter Ott, Peter Purtschert",5.8,14,88
5958,tt0048202,In Hamburg sind die Nächte lang,"Adventure, Crime",Max Michel,,Peter Francke,5.1,14,100
5959,tt0147668,Vier Stunden von Elbe 1,"Comedy, Drama, Romance",Eberhard Fechner,Egon Monk,Helga Feddersen,7.7,51,105
5960,tt0376177,Only Human,"Comedy, Romance","Teresa De Pelegrí, Dominic Harari","Mariela Besuievsky, Gerardo Herrero, Javier López Blanco","Teresa De Pelegrí, Dominic Harari",6.8,1839,85
5961,tt0083922,Fanny and Alexander,Drama,Ingmar Bergman,Jörn Donner,Ingmar Bergman,8.1,71661,322
5965,tt0303017,Scorcher,"Action, Adventure, Drama",James Seale,"Lisa M. Hansen, Paul Hertzberg","Graham Winter, Rebecca Morrison, Steve Latshaw",3.7,1538,91
5966,tt0343135,Along Came Polly,"Comedy, Romance",John Hamburg,"Danny DeVito, Michael Shamberg, Stacey Sher",John Hamburg,6.0,150782,90
5967,tt0058450,The Umbrellas of Cherbourg,"Drama, Musical, Romance",Jacques Demy,Mag Bodard,Jacques Demy,7.8,35389,91
5968,tt0088414,The Woman in Red,"Comedy, Romance",Gene Wilder,Victor Drai,"Jean-Loup Dabadie, Yves Robert, Gene Wilder",6.0,19547,87
5969,tt0347945,Schneemann sucht Schneefrau,Comedy,Marco Serafini,"Danny Krausz, Kurt Stocker",Markus Mayer,5.9,52,90
5970,tt1132471,The Best Place to Be,"Drama, Romance",Marcus H. Rosenmüller,"Nils Dünker, Joke Kromschröder",Karin Michalke,6.6,296,98
5971,tt0098625,We're No Angels,"Comedy, Crime",Neil Jordan,Art Linson,"David Mamet, Ranald MacDougall, Albert Husson, Sam Spewack, Bella Spewack",6.1,26391,106
5972,tt0084911,Witness for the Prosecution,"Crime, Drama",Alan Gibson,Norman Rosemont,"John Gay, Billy Wilder, Harry Kurnitz, Lawrence B. Marcus, Agatha Christie",7.1,1432,97
5973,tt0295036,Witness for the Prosecution,"Crime, Drama",John Glyn-Jones,John Glyn-Jones,"Sidney Budd, Agatha Christie",7.8,45,75
5990,tt0764631,Zwei Weihnachtshunde,"Comedy, Romance",Lenard Fritz Krawinkel,"Burkhard W.R. Ernst, Niki List","Eduard Habsburg, Lenard Fritz Krawinkel",4.8,60,90
5991,tt0015064,The Last Laugh,Drama,F.W. Murnau,Erich Pommer,Carl Mayer,8.0,16618,90
5992,tt0065614,That Can't Shake Our Willi!,Comedy,Rolf Olsen,Heinz Willeg,Rolf Olsen,5.3,448,85
5994,tt0218967,The Family Man,"Comedy, Drama, Fantasy",Brett Ratner,"Marc Abraham, Tony Ludwig, Alan Riche, Howard Rosenman","David Diamond, David Weissman",6.9,131479,125
5995,tt0342771,Miffo,"Comedy, Drama, Romance",Daniel Lind Lagerlöf,"Joakim Hansson, Daniel Lind Lagerlöf, Susanne Lundqvist","Malin Lagerlöf, Daniel Lind Lagerlöf",5.8,2293,105
5996,tt0048801,We're No Angels,"Comedy, Crime, Romance",Michael Curtiz,Pat Duggan,"Albert Husson, Ranald MacDougall",7.3,12217,106
5998,tt0013086,"Dr. Mabuse, the Gambler","Crime, Mystery, Thriller",Fritz Lang,Erich Pommer,"Norbert Jacques, Thea von Harbou, Fritz Lang",7.8,10004,155
5999,tt0047932,Charley's Aunt,"Comedy, Romance",Hans Quest,Kurt Ulrich,"Brandon Thomas, Gustav Kampendonk",5.2,388,89
6000,tt0365410,Kiss of Life,Drama,Emily Young,Gayle Griffiths,Emily Young,5.6,297,100
6001,tt0052687,Charley's Aunt,"Comedy, Family",Poul Bang,John Olsen,"Arvid Müller, Brandon Thomas",6.9,997,101
6002,tt0024967,Charley's Aunt,Comedy,Robert A. Stemmle,,"Robert A. Stemmle, Brandon Thomas",7.2,18,91
6003,tt0063518,Romeo and Juliet,"Drama, Romance",Franco Zeffirelli,"John Brabourne, Anthony Havelock-Allan","William Shakespeare, Franco Brusati, Masolino D'Amico, Franco Zeffirelli",7.6,37623,138
6004,tt0490133,Prisoners,Drama,Iain Dilthey,Gerd Haag,"Iain Dilthey, Ulrike Maria Hund",6.2,55,90
6005,tt0056924,Charley's Aunt,Comedy,Géza von Cziffra,Herbert Gruber,"Brandon Thomas, Gustav Kampendonk, Géza von Cziffra",5.1,355,84
6006,tt0016718,Charley's Aunt,,Elis Ellis,,"Sam Ask, Elis Ellis, Brandon Thomas",,,
6007,tt0279064,Elling,"Comedy, Drama",Petter Næss,Dag Alveberg,"Ingvar Ambjørnsen, Axel Hellstenius, Larry Stuckey",7.4,16741,89
6008,tt0353286,Charleys Tante,Comedy,Volker Lechtenbrink,,Brandon Thomas,,,90
6009,tt0064114,The Sexy Dozen,"Comedy, Romance",Norbert Terry,Werner Kunz,"Werner Kunz, Norbert Terry",3.8,51,101
6010,tt0115868,Charleys Tante,Comedy,Sönke Wortmann,"Bernd Eichinger, Uschi Reich","Robert Kulzer, Brandon Thomas, Herman Weigel",5.4,169,84
6011,tt0051707,Der Haustyrann,Comedy,Hans Deppe,Walter Traut,"Werner P. Zibaso, Toni Impekoven, Hans Reimann",6.2,380,90
6012,tt0458735,Der Haustyrann,Short,Phil Jutzi,,"Ludwig Metzger, Erich Palme",,,25
6013,tt0031266,The Grouch,Comedy,Hans Deppe,,"Josef Bielen, Walter F. Fichelscher, Toni Impekoven, Hans Reimann",6.9,81,75
6014,tt0021833,The Scoundrel,Comedy,"Eugen Schüfftan, Franz Wenzler",,"Hans Reimann, Toni Impekoven, Emeric Pressburger, Erich Kästner",6.6,10,82
6016,tt0281820,The Good Thief,"Action, Crime, Drama",Neil Jordan,"Seaton McLean, John Wells, Stephen Woolley","Auguste Le Breton, Jean-Pierre Melville, Neil Jordan",6.4,11365,109
6017,tt0920898,Das Weihnachts-Ekel,"Comedy, Drama, Family",Joseph Vilsmaier,Klaus Graf,Rolf-René Schneider,5.3,100,90
6018,tt0055033,Junge Leute brauchen Liebe,"Comedy, Musical",Géza von Cziffra,Herbert Gruber,Géza von Cziffra,4.4,47,85
6019,tt0064154,Charleys Onkel,Comedy,Werner Jacobs,Heinz Willeg,Kurt Nachmann,5.7,55,93
6020,tt0279781,Sorority Boys,Comedy,Wallace Wolodarsky,"Larry Brezner, Walter Hamada","Joe Jarvis, Greg Coolidge",5.5,15685,93
6021,tt0067825,Tante Trude aus Buxtehude,Comedy,Franz Josef Gottlieb,,Erich Tomek,3.4,208,87
6022,tt0765447,Evening,"Drama, Romance",Lajos Koltai,Jeffrey Sharp,"Susan Minot, Michael Cunningham",6.4,14452,117
6023,tt0431308,P.S. I Love You,"Comedy, Drama, Romance",Richard LaGravenese,"Wendy Finerman, Broderick Johnson, Andrew A. Kosove, Molly Smith","Richard LaGravenese, Steven Rogers, Cecelia Ahern",7.0,226407,126
6026,tt0060094,The Alphabet Murders,"Comedy, Crime, Mystery",Frank Tashlin,Lawrence P. Bachmann,"David Pursall, Jack Seddon, Agatha Christie",5.2,2124,90
6027,tt0340249,Mord im Pfarrhaus,"Crime, Mystery",Hans Quest,,"Moie Charles, Agatha Christie, Peter Goldbaum, Barbara Toy",6.5,39,90
6028,tt0081163,The Mirror Crack'd,"Crime, Mystery, Thriller",Guy Hamilton,"John Brabourne, Richard Goodwin","Jonathan Hales, Barry Sandler, Agatha Christie",6.2,11333,105
6029,tt0086407,Secret of the Blackbirds,"Crime, Mystery",Vadim Derbenyov,,"Agatha Christie, Valentina Kolodyazhnaya, Yelizaveta Smirnova",6.4,321,97
6030,tt0085296,A Caribbean Mystery,"Crime, Drama, Mystery",Robert Michael Lewis,Stan Margulies,"Agatha Christie, Sue Grafton, Steve Humphrey",6.3,939,92
6032,tt0089640,Murder with Mirrors,"Crime, Mystery, Romance",Dick Lowry,Neil Hartley,"Agatha Christie, George Eckstein",6.3,1749,100
6037,tt0074937,Murder by Death,"Comedy, Crime, Mystery",Robert Moore,Ray Stark,Neil Simon,7.2,45912,95
6038,tt0300471,Shanghai Knights,"Action, Adventure, Comedy",David Dobkin,"Gary Barber, Roger Birnbaum, Jonathan Glickman","Alfred Gough, Miles Millar",6.2,118057,114
6056,tt0025419,Lord Edgware Dies,"Crime, Drama, Mystery",Henry Edwards,Julius Hagen,"Agatha Christie, H. Fowler Mear",5.9,181,80
6057,tt0968741,Futureshock: Comet,Drama,Keith Boak,,"Matt Harvey, Dominic Morgan",5.0,498,
6058,tt0120786,The Patriot,"Action, Thriller",Dean Semler,"Howard Baldwin, Patrick D. Cheh, Victor Hwang, Julius R. Nasso","William Heine, M. Sussman, John Kingswell",4.2,14043,90
6059,tt0021598,Alibi,Mystery,Leslie S. Hiscott,Julius Hagen,"Agatha Christie, Michael Morton, H. Fowler Mear",7.1,33,75
6060,tt0021669,Black Coffee,Mystery,Leslie S. Hiscott,Julius Hagen,"Agatha Christie, H. Fowler Mear, Brock Williams",6.3,34,78
6068,tt0120828,Six Days Seven Nights,"Action, Adventure, Comedy",Ivan Reitman,"Roger Birnbaum, Wallis Nicita, Ivan Reitman",Michael Browning,5.9,88303,102
6069,tt0094332,The Witches of Eastwick,"Comedy, Fantasy, Horror",George Miller,"Neil Canton, Peter Guber, Christine Peters, Jon Peters","John Updike, Michael Cristofer",6.6,84793,118
6071,tt0113552,Kiss of Death,"Crime, Drama, Thriller",Barbet Schroeder,"Susan Hoffman, Barbet Schroeder","Eleazar Lipsky, Ben Hecht, Charles Lederer, Richard Price",6.0,20132,101
6072,tt0118531,One Eight Seven,"Drama, Thriller",Kevin Reynolds,"Bruce Davey, Stephen McEveety",Scott Yagemann,6.6,27158,119
6073,tt0236493,The Mexican,"Adventure, Comedy, Drama",Gore Verbinski,"John Baldecchi, Lawrence Bender",J.H. Wyman,6.1,121836,123
6074,tt0948568,Black Coffee,Crime,Claus Peter Witt,,"Agatha Christie, Peter Goldbaum, Claus Peter Witt",6.4,32,70
6075,tt0106519,Carlito's Way,"Crime, Drama, Thriller",Brian De Palma,"Martin Bregman, Michael S. Bregman, Willi Bär","Edwin Torres, David Koepp",7.9,249553,144
6076,tt0960790,Rabbit Without Ears,"Comedy, Romance",Til Schweiger,"Til Schweiger, Tom Zickler","Anika Decker, Til Schweiger",6.5,19437,116
6077,tt0475169,13 Tzameti,"Crime, Drama, Thriller",Géla Babluani,"Géla Babluani, Pascal Caucheteux, Jean-Baptiste Legrand, Fanny Saadi",Géla Babluani,7.3,18675,93
6078,tt0076770,The Strange Case of the End of Civilization as We Know It,"Comedy, Crime, Mystery",Joseph McGrath,Humphrey Barclay,"Jack Hobbs, Joseph McGrath, John Cleese",6.2,772,56
6079,tt0809951,Empties,"Comedy, Drama",Jan Svěrák,"Eric Abraham, Jan Svěrák",Zdeněk Svěrák,7.2,5258,104
6081,tt0078163,Revenge of the Pink Panther,"Comedy, Crime, Mystery",Blake Edwards,Blake Edwards,"Frank Waldman, Ron Clark, Blake Edwards",6.6,25199,99
6083,tt0480429,The Making of Agatha Christie's 'Evil Under the Sun',"Documentary, Short",,,,7.7,61,14
6103,tt0090156,Thirteen at Dinner,"Crime, Mystery, Thriller",Lou Antonio,Neil Hartley,"Agatha Christie, Rod Browning",6.2,3020,87
6104,tt0201788,Murder by the Book,"Drama, Mystery",Lawrence Gordon Clark,"Dickie Bamber, Nick Evans",Nick Evans,6.7,144,45
6105,tt0090914,Dead Man's Folly,"Crime, Drama, Mystery",Clive Donner,Neil Hartley,"Agatha Christie, Rod Browning, Michael Norell",6.3,2608,90
6106,tt0091886,Salvador,"Drama, History, Thriller",Oliver Stone,"Gerald Green, Oliver Stone","Oliver Stone, Richard Boyle",7.3,25577,122
6107,tt0091572,Murder in Three Acts,"Crime, Drama, Mystery",Gary Nelson,Paul Waigner,"Agatha Christie, Scott Swanton",6.2,2640,94
6108,tt0185995,The Lackered Box,"Crime, Mystery",Jean Kemm,,"Agatha Christie, Pierre Maudru, H. Fowler Mear, Brock Williams",6.5,21,85
6109,tt0136618,Peril at End House,"Crime, Mystery",Vadim Derbenyov,,"Agatha Christie, Vadim Derbenyov",6.1,106,102
6110,tt0279250,Murder on the Orient Express,"Crime, Drama, Mystery",Carl Schenkel,Marion Rosenberg,"Agatha Christie, Stephen Harrigan",5.1,1282,100
6112,tt0426394,Agatha Christie: A Life in Pictures,Drama,Richard Curson Smith,Colette Flight,Richard Curson Smith,6.6,260,90
6114,tt0103874,Bram Stoker's Dracula,"Fantasy, Horror, Romance",Francis Ford Coppola,"Francis Ford Coppola, Fred Fuchs, Charles Mulvehill","Bram Stoker, James V. Hart",7.4,269585,128
6115,tt0295538,Promised Land,Drama,Jason Xenopoulos,"Moonyeenn Lee, David Wicht","Jason Xenopoulos, Karel Schoeman",6.5,261,100
6116,tt0120185,Spice World,"Comedy, Family, Music",Bob Spiers,"Uri Fruchtmann, Mark L. Rosen, Barnaby Thompson","Spice Girls, Kim Fuller, Jamie Curtis",3.8,38515,93
6117,tt0048300,"Love, Dance, and 1000 Songs","Comedy, Music, Romance",Paul Martin,Artur Brauner,"Curth Flatow, Frederick Kohner, Paul Martin",6.0,73,98
6118,tt0052163,Schlag auf Schlag,Comedy,Géza von Cziffra,Kurt Ulrich,"Johannes Boldt, Gustav Kampendonk, Géza von Cziffra",5.4,52,97
6122,tt0780059,Kings of South Beach,"Crime, Drama",Tim Hunter,"Kip Konwiser, Nicholas Pileggi",Nicholas Pileggi,5.2,1171,90
6123,tt0011676,Desire: The Tragedy of a Dancer,"Drama, Romance",F.W. Murnau,Richard Mosch,Carl Heinz Jarosy,7.0,83,59
6131,tt0017118,Manon Lescaut,Drama,Arthur Robison,Erich Pommer,"Hans Kyser, Arthur Robison, Abbé Prévost",5.9,89,99
6145,tt0488120,Fracture,"Crime, Drama, Thriller",Gregory Hoblit,Charles Weinstock,"Daniel Pyne, Glenn Gers",7.2,237605,113
6146,tt1024727,"Einmal Dieb, immer Dieb","Comedy, Crime",Michael Kreindl,,Uwe Wilhelm,4.7,38,88
6147,tt0192153,"Can I Be Your Bratwurst, Please?","Comedy, Short",Rosa von Praunheim,Regina Ziegler,"Lawrence Elbert, Rosa von Praunheim",5.1,280,28
6148,tt0253213,Liebestod,Thriller,Stephan Wagner,"Gabriele Graf, Alexander Wesemann","Donald Kraemer, Bernd Schadewald",7.1,59,85
6149,tt0179827,Glatteis,Crime,Michael Gutmann,Gabriele Graf,"Michael Gutmann, Hans Werner Kettenbach",7.0,35,90
6153,tt0051094,Der tolle Bomberg,Comedy,Rolf Thiele,Gero Wecker,"Hans Jacoby, Per Schwenzen, Josef Winckler",5.1,77,95
6154,tt0240118,The Mad Bomberg,,Georg Asagaroff,Dagobert Koßmann,"Curt J. Braun, Josef Winckler",7.7,13,92
6155,tt0029210,The Man Who Was Sherlock Holmes,"Comedy, Crime, Romance",Karl Hartl,Alfred Greven,"Robert A. Stemmle, Karl Hartl",7.0,1087,116
6156,tt1016235,Sehnsucht nach Rimini,"Comedy, Drama, Romance",Dietmar Klein,Christa Gerlach,"Siegmar Jeromin, Gabriele Kreis, Peter Rippl",5.7,34,89
6158,tt0049458,Lügen haben hübsche Beine,Comedy,Erik Ode,Herbert Gruber,"Erna Fentsch, Kurt Nachmann",5.9,23,93
6159,tt0472762,"Dr. Sommerfeld - Alte Träume, neue Liebe",Drama,Bettina Woernle,Gül Oswatitsch,Axel Hildebrand,5.6,15,90
6160,tt0070133,The Burned Barns,"Crime, Drama, Mystery",Jean Chapot,Ralph Baum,"Jean Chapot, Sébastien Roulet, Franz-André Burguet",6.6,1543,98
6162,tt1087833,"Morgen, ihr Luschen! Der Ausbilder-Schmidt-Film","Action, Comedy",Mike Eschmann,"Cornelius Conrad, Alban Rehnitz, Philip Voges","Florian Gärtner, Jakob Hilpert, Rudolph Jula, Klaus-Jürgen Deuser, Holger Müller, Johann A. Bunners, Carlos Calvo",4.0,585,94
6163,tt1153106,The Hessen Affair,Thriller,Paul Breuls,"Paul Breuls, Catherine Vandeleene","Nicholas Meyer, Ronald Roose",5.3,739,113
6165,tt0047459,Die schöne Müllerin,"Drama, Romance",Wolfgang Liebeneiner,Friedrich Wilhelm Gaik,Ilse Lotz-Dupont,4.9,36,99
6166,tt0121210,Dinner for One,"Comedy, Short","Heinz Dunkhase, Franco Marazzi",,"Peter Frankenfeld, Freddie Frinton, Lauri Wylie",8.0,8884,18
6167,tt0274531,Das Glück ist eine Insel,"Drama, Romance",Gloria Behrens,Norbert Sauer,"Sebastian Andrae, Manfred Buzzi",5.7,42,88
6168,tt0472204,Was heißt hier Oma!,"Comedy, Drama, Family",Ariane Zeller,"Nanni Erben, Tanja Ziegler","Andy T. Hoetzel, Ina Siefert",4.3,27,90
6169,tt0389164,Mit deinen Augen,"Drama, Romance",Karl Kases,Benjamin Benedict,Brigitte Blobel,3.9,27,89
6171,tt0285531,Dreamcatcher,"Drama, Horror, Sci-Fi",Lawrence Kasdan,"Lawrence Kasdan, Charles Okun","Stephen King, William Goldman, Lawrence Kasdan",5.6,101608,134
6172,tt0780568,My Führer,"Comedy, Drama, War",Dani Levy,Stefan Arndt,Dani Levy,5.5,4693,89
