tmdb_id,imdb_id,title,genre,director,producers,screenwriters,imdb_rating,imdb_vote_count,running_time_minutes
10077,tt0318081,A Sound of Thunder,"Action, Adventure, Horror",Peter Hyams,"Karen Elise Baldwin, Moshe Diamant","Ray Bradbury, Thomas Dean Donnelly, Joshua Oppenheimer, Gregory Poirier",4.3,21837,110
10078,tt0841027,Magicians,Comedy,Andrew O'Connor,Ollie Madden,"David Britland, Andy Nyman, Anthony Owen, Andrew O'Connor, Jesse Armstrong, Sam Bain",6.0,6026,90
10079,tt0462373,Joy Division,"Drama, War",Reg Traviss,Kim Leggatt,"Rosemary Mason, Reg Traviss",6.0,1060,105
10080,tt0827786,Slip,Thriller,Brian Maris,"Brian Maris, Joey Palmeri, Donald Turner, Brian Wise",Brian Maris,4.5,530,96
10081,tt0093780,The Principal,"Action, Crime, Drama",Christopher Cain,Thomas H. Brodek,Frank Deese,6.3,12851,109
10083,tt0093640,No Way Out,"Action, Crime, Drama",Roger Donaldson,"Robert Garland, Laura Ziskin","Kenneth Fearing, Robert Garland",7.1,55908,114
10084,tt0437459,Rollin' with the Nines,"Action, Crime, Drama",Julian Gilbey,"Geoff Austin, Pikki Fearon, James Hutchins, Alex Rofaila","Julian Gilbey, Will Gilbey",5.4,1236,96
10085,tt0453533,Unrest,"Horror, Thriller",Jason Todd Ipson,"Julio Bove, Jason Todd Ipson, Adam M. Lebovitz","Chris Billett, Jason Todd Ipson",5.0,8540,88
10086,tt0103905,Man Bites Dog,"Comedy, Crime, Drama","Rémy Belvaux, André Bonzel, Benoît Poelvoorde","Rémy Belvaux, André Bonzel, Benoît Poelvoorde","Rémy Belvaux, André Bonzel, Benoît Poelvoorde, Vincent Tavier",7.4,45208,95
10087,tt0397530,Man to Man,Drama,Régis Wargnier,"Aïssa Djabri, Farid Lahouassa","William Boyd, Michel Fessler, Fred Fougea, Régis Wargnier",6.5,2200,122
10088,tt0439834,Sweet Insanity,"Horror, Thriller",Daniel Hess,George Dykstra,"Adam Weis, Daniel Hess",2.3,846,90
10089,tt0829424,Charles Band's Evil Bong,"Comedy, Horror",Charles Band,"Charles Band, Joe Dain","Charles Band, Domonic Muir",3.9,4321,86
10090,tt0499554,Reno 911!: Miami,"Comedy, Crime",Robert Ben Garant,"Danny DeVito, John Landgraf, Michael Shamberg, Stacey Sher","Robert Ben Garant, Thomas Lennon, Kerri Kenney",5.9,28772,84
10091,tt0804506,The Most Unromantic Man in the World,Comedy,"Gratian Dimech, James Heath","Gratian Dimech, James Heath, David Lumby, Lee Mason","Gratian Dimech, James Heath",5.2,431,81
10092,tt0384286,Cry_Wolf,"Drama, Horror, Mystery",Jeff Wadlow,Beau Bauman,"Jeff Wadlow, Beau Bauman",5.8,29967,90
10093,tt0433442,The Return,"Horror, Mystery, Thriller",Asif Kapadia,"Aaron Ryder, Jeffrey Silver",Adam Sussman,4.7,12850,85
10094,tt0482374,Gone,"Drama, Horror, Thriller",Ringan Ledwidge,"Deborah Balderstone, Nira Park","James Watkins, Andrew Upton",5.4,4585,88
10095,tt0400329,Evil's City,"Action, Horror, Thriller",Tom Lewis,Tom Lewis,Tom Lewis,2.4,425,83
10096,tt0337563,13 Going on 30,"Comedy, Fantasy, Romance",Gary Winick,"Susan Arnold, Gina Matthews, Donna Roth","Josh Goldsmith, Cathy Yuspa",6.3,251116,98
10097,tt0490499,The Tiger's Tail,"Comedy, Crime, Drama",John Boorman,"John Boorman, John Buchanan, Kieran Corrigan",John Boorman,5.8,1549,107
10098,tt0012349,The Kid,"Comedy, Drama, Family",Charles Chaplin,Charles Chaplin,Charles Chaplin,8.2,146478,68
