tmdb_id,imdb_id,title,status,budget_amount,budget_currency,revenue_amount,revenue_currency,producers,mpaa_rating
2035,tt0103108,Touch and Die,ok,,,,,,
2036,tt0078812,Avalanche Express,ok,,,,,Mark Robson,
2038,tt0103617,Iron Eagle III,ok,,,,,Ron Samuels,
2042,tt0120070,Savior,ok,,,,,Oliver Stone,
2045,tt0118040,Unforgettable,ok,,,,,Dino De Laurentiis,
2049,tt0943512,How to Cook Your Life,ok,,,,,Franz Xaver Gernstl,
2058,tt0118556,Addicted to Love,ok,,,,,"Bob Weinstein, Harvey Weinstein",
2060,tt0075933,Spoiled Children,ok,,,,,Alain Sarde,
2061,tt0117407,Pusher,ok,6000000,Danish krone,,,Henrik Danstrup Holst,
2065,tt0488565,Could This Be Love?,ok,,,,,,
2070,tt0075255,Love in 4 Easy Lessons,ok,,,,,Luciano Martino,
2072,tt0112763,Cyberjack,ok,,,,,,
2075,tt0089841,Prizzi's Honor,ok,,,,,John Foreman,
2076,tt0190938,Swindle,ok,,,,,,
2077,tt0007264,The Rink,ok,,,,,Charlie Chaplin,
2078,tt0007162,The Pawnshop,ok,,,,,Charlie Chaplin,
2079,tt0006548,The Count,ok,,,,,Charlie Chaplin,
2083,tt1328622,Guitar Men: The Darkest Secret of Rock 'n Roll,ok,,,,,,
2087,tt0109890,The Getaway,ok,,,,,David Foster,
2090,tt0211407,The Heist,ok,,,,,Matt Hill,
2091,tt0286493,The Badge,ok,,,,,John Morrissey,
2092,tt0418329,Wish You Were Here,ok,,,,,,
2093,tt0094651,Amsterdamned,ok,,,,,Dick Maas,
2094,tt0058534,Roustabout,ok,,,,,Hal B. Wallis,
2095,tt0167116,Desert Saints,ok,,,,,Meg Ryan,
2096,tt0156146,Tycus,ok,,,,,Ashok Amritraj,
2097,tt0061550,"Gappa, the Triphibian Monster",ok,,,,,,
2098,tt0058725,Viva Las Vegas,ok,,,,,"Jack Cummings, George Sidney",
2101,tt0380368,The Brother from Space,ok,,,,,,
2102,tt0100649,Solar Crisis,ok,,,,,Richard Edlund,
2104,tt0286917,Requiem,ok,,,,,"Marc Missonnier, Olivier Delbosc",
2106,tt0059282,Hot Enough for June,ok,,,,,Betty Box,
2107,tt0102250,L.A. Story,ok,,,,,Daniel Melnick,
2111,tt0291032,Balzac and the Little Chinese Seamstress,ok,,,,,,
2115,tt0093415,Light of Day,ok,,,,,Rob Cohen,
2117,tt0426578,Sophie Scholl: The Final Days,ok,,,,,"Sven Burgemeister, Christoph Müller, Fred Breinersdorfer, Marc Rothemund",
2125,tt0103239,Wedlock,ok,,,,,Branko Lustig,
2126,tt0240601,"I Love You, Baby",ok,,,,,,
2131,tt0119320,Hostile Waters,ok,,,,,Tony Garnett,PG
2132,tt0200954,Totally Blonde,ok,,,,,Andrew Van Slee,
2136,tt0083999,Hangin' Out,ok,,,,,,
